Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::as_strided,,,0.311,0.311,0,0,0,0
aten::copy_,,,2.372,3.552,0,2.88,0,0
acl_memcpy_host_to_device,,,1.18,1.18,2.88,2.88,0,0
aten::slice,,,0.556,0.852,0,0,0,0
aten::as_strided,,,0.296,0.296,0,0,0,0
aten::index,,,11.861,23.665,0,8.6405,0,0
empty_tensor,,,3.75,3.75,0,0,0,0
empty_tensor,,,3.468,3.468,0,0,0,0
aclnnIndex,,,4.586,4.586,8.6405,8.6405,0,0
aten::to,,,1.177,11.374,0,1.18,0,0
aten::_to_copy,,,1.659,10.197,0,1.18,0,0
aten::empty,,,1.003,2.276,0,0,0,0
empty_tensor,,,1.273,1.273,0,0,0,0
aten::copy_,,,4.465,6.262,0,1.18,0,0
aclnnInplaceCopy,,,1.797,1.797,1.18,1.18,0,0
aten::slice,,,0.835,3.01,0,0,0,0
aten::as_strided,,,2.175,2.175,0,0,0,0
aten::add,,,9.214,11.416,0,2.58,0,0
empty_tensor,,,1.66,1.66,0,0,0,0
aclnnAdd,,,0.542,0.542,2.58,2.58,0,0
aten::slice,,,0.687,1.207,0,0,0,0
aten::as_strided,,,0.52,0.52,0,0,0,0
aten::copy_,,,55.182,59.557,0,1.24,0,0
aclnnInplaceCopy,,,4.375,4.375,1.24,1.24,0,0
aten::slice,,,0.592,0.94,0,0,0,0
aten::as_strided,,,0.348,0.348,0,0,0,0
aten::add,,,3.162,7.045,0,1.46,0,0
empty_tensor,,,2.683,2.683,0,0,0,0
aclnnAdd,,,1.2,1.2,1.46,1.46,0,0
aten::copy_,,,10.521,12.449,0,0.6,0,0
aclnnInplaceCopy,,,1.928,1.928,0.6,0.6,0,0
aten::slice,,,0.653,1.098,0,0,0,0
aten::as_strided,,,0.445,0.445,0,0,0,0
aten::fill_,,,2.041,3.676,0,0,0,0
aclnnInplaceFillScalar,,,1.635,1.635,0,0,0,0
aten::slice,,,0.715,1.073,0,0,0,0
aten::as_strided,,,0.358,0.358,0,0,0,0
aten::slice,,,2.051,2.311,0,0,0,0
aten::as_strided,,,0.26,0.26,0,0,0,0
_compute_slot_mapping_kernel,,,7.527,7.527,120.005,120.005,0,0
aten::slice,,,1.112,1.76,0,0,0,0
aten::as_strided,,,0.648,0.648,0,0,0,0
aten::sub,,,8.431,18.095,0,1.34,0,0
empty_tensor,,,1.947,1.947,0,0,0,0
aten::item,,,1.88,4.027,0,0,0,0
aten::_local_scalar_dense,,,2.147,2.147,0,0,0,0
aclnnSubs,,,3.69,3.69,1.34,1.34,0,0
aten::detach,,,1.569,1.569,0,0,0,0
aten::to,,,0.917,0.917,0,0,0,0
aten::resolve_conj,,,0.185,0.185,0,0,0,0
aten::resolve_neg,,,0.102,0.102,0,0,0,0
aten::slice,,,3.918,4.978,0,0,0,0
aten::as_strided,,,1.06,1.06,0,0,0,0
aten::slice,,,0.967,3.444,0,0,0,0
aten::as_strided,,,2.477,2.477,0,0,0,0
aten::slice,,,0.638,1.215,0,0,0,0
aten::as_strided,,,0.577,0.577,0,0,0,0
aten::slice,,,1.067,1.49,0,0,0,0
aten::as_strided,,,0.423,0.423,0,0,0,0
aten::fill_,,,4.341,10.098,0,0,0,0
aclnnInplaceFillScalar,,,5.757,5.757,0,0,0,0
aten::slice,,,0.712,1.126,0,0,0,0
aten::as_strided,,,0.414,0.414,0,0,0,0
aten::fill_,,,1.519,5.445,0,0,0,0
aclnnInplaceFillScalar,,,3.926,3.926,0,0,0,0
aten::slice,,,0.553,0.775,0,0,0,0
aten::as_strided,,,0.222,0.222,0,0,0,0
aten::slice,,,0.73,1.141,0,0,0,0
aten::as_strided,,,0.411,0.411,0,0,0,0
aten::lt,,,9.546,9.546,0,0,0,0
aten::lift_fresh,,,0.53,0.53,0,0,0,0
aten::slice,,,0.518,0.788,0,0,0,0
aten::as_strided,,,0.27,0.27,0,0,0,0
aten::fill_,,,0.998,5.773,0,0,0,0
aten::copy_,,,4.775,4.775,0,0,0,0
aten::slice,,,0.541,0.843,0,0,0,0
aten::as_strided,,,0.302,0.302,0,0,0,0
aten::slice,,,0.656,1.157,0,0,0,0
aten::as_strided,,,0.501,0.501,0,0,0,0
aten::slice,,,2.161,2.403,0,0,0,0
aten::as_strided,,,0.242,0.242,0,0,0,0
aten::slice,,,0.595,2.514,0,0,0,0
aten::as_strided,,,1.919,1.919,0,0,0,0
aten::slice,,,0.492,0.939,0,0,0,0
aten::as_strided,,,0.447,0.447,0,0,0,0
aten::slice,,,0.607,0.805,0,0,0,0
aten::as_strided,,,0.198,0.198,0,0,0,0
aten::slice,,,0.669,0.919,0,0,0,0
aten::as_strided,,,0.25,0.25,0,0,0,0
aten::slice,,,0.596,0.834,0,0,0,0
aten::as_strided,,,0.238,0.238,0,0,0,0
aten::slice,,,0.899,1.132,0,0,0,0
aten::as_strided,,,0.233,0.233,0,0,0,0
aten::sub,,,4.137,4.137,0,0,0,0
aten::gt,,,6.497,16.41,0,0,0,0
aten::to,,,1.082,9.913,0,0,0,0
aten::_to_copy,,,3.377,8.831,0,0,0,0
aten::empty_strided,,,2.114,2.114,0,0,0,0
aten::copy_,,,3.34,3.34,0,0,0,0
aten::any,,,4.155,8.741,0,0,0,0
aten::view_as,,,1.547,2.607,0,0,0,0
aten::view,,,1.06,1.06,0,0,0,0
aten::to,,,0.309,0.309,0,0,0,0
aten::copy_,,,1.67,1.67,0,0,0,0
aten::is_nonzero,,,1.131,2.123,0,0,0,0
aten::item,,,0.678,0.992,0,0,0,0
aten::_local_scalar_dense,,,0.314,0.314,0,0,0,0
aten::to,,,0.248,3.678,0,0,0,0
aten::_to_copy,,,1.389,3.43,0,0,0,0
aten::empty_strided,,,0.435,0.435,0,0,0,0
aten::copy_,,,1.606,1.606,0,0,0,0
aten::argmax,,,3.038,3.334,0,0,0,0
aten::fill_,,,0.296,0.296,0,0,0,0
aten::item,,,0.187,0.408,0,0,0,0
aten::_local_scalar_dense,,,0.221,0.221,0,0,0,0
aten::select,,,4.155,4.589,0,0,0,0
aten::as_strided,,,0.434,0.434,0,0,0,0
aten::item,,,0.191,0.368,0,0,0,0
aten::_local_scalar_dense,,,0.177,0.177,0,0,0,0
aten::slice,,,0.556,0.835,0,0,0,0
aten::as_strided,,,0.279,0.279,0,0,0,0
aten::slice,,,0.627,1.212,0,0,0,0
aten::as_strided,,,0.585,0.585,0,0,0,0
aten::pin_memory,,,2.016,12.86,0,0,0,0
aten::is_pinned,,,10.844,10.844,0,0,0,0
aten::to,,,0.744,17.689,0,2.68,0,0
aten::_to_copy,,,1.663,16.945,0,2.68,0,0
aten::empty_strided,,,4.194,6.189,0,0,0,0
empty_tensor,,,1.995,1.995,0,0,0,0
aten::copy_,,,5.064,9.093,0,2.68,0,0
acl_memcpy_host_to_device,,,4.029,4.029,2.68,2.68,0,0
aten::resolve_conj,,,0.196,0.196,0,0,0,0
aten::resolve_neg,,,0.207,0.207,0,0,0,0
aten::slice,,,0.915,1.178,0,0,0,0
aten::as_strided,,,0.263,0.263,0,0,0,0
aten::resolve_conj,,,0.076,0.076,0,0,0,0
aten::resolve_neg,,,0.898,0.898,0,0,0,0
aten::slice,,,0.792,1.342,0,0,0,0
aten::as_strided,,,0.55,0.55,0,0,0,0
aten::slice,,,0.626,1.547,0,0,0,0
aten::as_strided,,,0.921,0.921,0,0,0,0
aten::index_select,,,9.792,16.403,0,11.7605,0,0
empty_tensor,,,2.877,2.877,0,0,0,0
aclnnIndexSelect,,,3.734,3.734,11.7605,11.7605,0,0
aten::view,,,2.212,2.212,0,0,0,0
aten::repeat,,,5.674,8.258,0,15.2605,0,0
empty_tensor,,,0.991,0.991,0,0,0,0
aclnnRepeat,,,1.593,1.593,15.2605,15.2605,0,0
aten::chunk,,,2.733,10.359,0,0,0,0
aten::split,,,2.065,7.626,0,0,0,0
aten::narrow,,,2.24,4.461,0,0,0,0
aten::slice,,,0.438,2.221,0,0,0,0
aten::as_strided,,,1.783,1.783,0,0,0,0
aten::narrow,,,0.392,1.1,0,0,0,0
aten::slice,,,0.258,0.708,0,0,0,0
aten::as_strided,,,0.45,0.45,0,0,0,0
aten::slice,,,0.791,1.855,0,0,0,0
aten::as_strided,,,1.064,1.064,0,0,0,0
aten::view,,,0.572,0.572,0,0,0,0
aten::expand,,,2.28,6.87,0,0,0,0
aten::as_strided,,,4.59,4.59,0,0,0,0
aten::copy_,,,3.99,7.459,0,3.12,0,0
aclnnInplaceCopy,,,3.469,3.469,3.12,3.12,0,0
