Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::as_strided,,,0.362,0.362,0,0,0,0
aten::copy_,,,2.364,3.733,0,2.76,0,0
acl_memcpy_host_to_device,,,1.369,1.369,2.76,2.76,0,0
aten::slice,,,0.602,0.951,0,0,0,0
aten::as_strided,,,0.349,0.349,0,0,0,0
aten::index,,,11.074,19.818,0,11.3005,0,0
empty_tensor,,,1.495,1.495,0,0,0,0
empty_tensor,,,4.61,4.61,0,0,0,0
aclnnIndex,,,2.639,2.639,11.3005,11.3005,0,0
aten::to,,,0.844,9.833,0,1.2205,0,0
aten::_to_copy,,,1.365,8.989,0,1.2205,0,0
aten::empty,,,1.03,2.372,0,0,0,0
empty_tensor,,,1.342,1.342,0,0,0,0
aten::copy_,,,3.897,5.252,0,1.2205,0,0
aclnnInplaceCopy,,,1.355,1.355,1.2205,1.2205,0,0
aten::slice,,,0.711,1.096,0,0,0,0
aten::as_strided,,,0.385,0.385,0,0,0,0
aten::add,,,7.993,15.323,0,2.9205,0,0
empty_tensor,,,1.06,1.06,0,0,0,0
aclnnAdd,,,6.27,6.27,2.9205,2.9205,0,0
aten::slice,,,0.612,1.198,0,0,0,0
aten::as_strided,,,0.586,0.586,0,0,0,0
aten::copy_,,,48.343,52.293,0,1.22,0,0
aclnnInplaceCopy,,,3.95,3.95,1.22,1.22,0,0
aten::slice,,,0.598,0.979,0,0,0,0
aten::as_strided,,,0.381,0.381,0,0,0,0
aten::add,,,2.842,4.977,0,1.4,0,0
empty_tensor,,,1.4,1.4,0,0,0,0
aclnnAdd,,,0.735,0.735,1.4,1.4,0,0
aten::copy_,,,6.924,7.791,0,0.62,0,0
aclnnInplaceCopy,,,0.867,0.867,0.62,0.62,0,0
aten::slice,,,0.57,1.05,0,0,0,0
aten::as_strided,,,0.48,0.48,0,0,0,0
aten::fill_,,,2.037,2.864,0,0,0,0
aclnnInplaceFillScalar,,,0.827,0.827,0,0,0,0
aten::slice,,,0.537,0.986,0,0,0,0
aten::as_strided,,,0.449,0.449,0,0,0,0
aten::slice,,,1.426,1.798,0,0,0,0
