Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
P16/01-parallel/mm-03,,,14.609,22.525,0,427.877,0,427.877
aten::mm,"4096,4096;
4096,4096;
4096,4096",,5.419,7.916,0,427.877,0,427.877
aclnnMm,,,2.497,2.497,427.877,427.877,427.877,427.877
P16/01-parallel/mul-03,,,13.337,19.002,0,559.342,0,0
aten::mul,"67108864;
;
67108864",,2.815,5.665,0,559.342,0,0
aten::item,,,0.211,0.456,0,0,0,0
aten::_local_scalar_dense,,,0.245,0.245,0,0,0,0
aclnnMuls,,,2.394,2.394,559.342,559.342,0,0
P16/01-parallel/mm-04,,,19.404,26.106,0,426.857,0,426.857
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.572,6.702,0,426.857,0,426.857
aclnnMm,,,2.13,2.13,426.857,426.857,426.857,426.857
P16/01-parallel/mul-04,,,14.986,21.025,0,562.383,0,0
aten::mul,"67108864;
;
67108864",,2.996,6.039,0,562.383,0,0
aten::item,,,0.391,0.735,0,0,0,0
aten::_local_scalar_dense,,,0.344,0.344,0,0,0,0
aclnnMuls,,,2.308,2.308,562.383,562.383,0,0
P16/01-parallel/mm-05,,,19.441,27.012,0,428.998,0,428.998
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.441,7.571,0,428.998,0,428.998
aclnnMm,,,3.13,3.13,428.998,428.998,428.998,428.998
P16/01-parallel/mul-05,,,14.089,19.59,0,550.722,0,0
aten::mul,"67108864;
;
67108864",,2.824,5.501,0,550.722,0,0
aten::item,,,0.225,0.363,0,0,0,0
aten::_local_scalar_dense,,,0.138,0.138,0,0,0,0
aclnnMuls,,,2.314,2.314,550.722,550.722,0,0
P16/01-parallel/record-A,,,18.225,33.385,0,0.02,0,0
Event::record,,,12.265,15.16,0,0.02,0,0
record_event,,,2.895,2.895,0.02,0.02,0,0
P16/01-parallel/record-B,,,20.777,42.619,0,0.02,0,0
Event::record,,,15.393,21.842,0,0.02,0,0
record_event,,,6.449,6.449,0.02,0.02,0,0
P16/01-parallel/wait-A,,,14.382,4373.495,0,0,0,0
Event::synchronize,,,4359.113,4359.113,0,0,0,0
P16/01-parallel/wait-B,,,13.17,24.165,0,0,0,0
Event::synchronize,,,10.995,10.995,0,0,0,0
destroy_event,,,2.069,2.069,0,0,0,0
destroy_event,,,0.787,0.787,0,0,0,0
P16/check/01-parallel,,,23.959,574.555,0,459.659,0,0
aten::eq,"4096,4096;
",,4.827,10.417,0,20.941,0,0
empty_tensor,,,2.472,2.472,0,0,0,0
aclnnEqScalar,,,3.118,3.118,20.941,20.941,0,0
aten::all,"4096,4096",,4.304,7.494,0,30.181,0,0
empty_tensor,,,1.318,1.318,0,0,0,0
aclnnAll,,,1.872,1.872,30.181,30.181,0,0
aten::item,,,0.648,81.454,0,0,0,0
aten::_local_scalar_dense,,,80.806,80.806,0,0,0,0
aten::eq,"67108864;
",,2.414,6.485,0,351.235,0,0
empty_tensor,,,1.518,1.518,0,0,0,0
aclnnEqScalar,,,2.553,2.553,351.235,351.235,0,0
aten::all,67108864,,2.535,4.267,0,57.302,0,0
empty_tensor,,,0.941,0.941,0,0,0,0
aclnnAll,,,0.791,0.791,57.302,57.302,0,0
aten::item,,,0.841,440.479,0,0,0,0
aten::_local_scalar_dense,,,439.638,439.638,0,0,0,0
P16/02-parallel/mm-00,,,24.146,38.695,0,1586.763,0,1586.763
aten::mm,"4096,4096;
4096,4096;
4096,4096",,8.441,14.549,0,1586.763,0,1586.763
aclnnMm,,,6.108,6.108,1586.763,1586.763,1586.763,1586.763
P16/02-parallel/mul-00,,,16.738,23.772,0,505.42,0,0
aten::mul,"67108864;
;
67108864",,4.176,7.034,0,505.42,0,0
aten::item,,,0.387,0.692,0,0,0,0
aten::_local_scalar_dense,,,0.305,0.305,0,0,0,0
aclnnMuls,,,2.166,2.166,505.42,505.42,0,0
P16/02-parallel/mm-01,,,21.238,28.387,0,1648.126,0,1648.126
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.706,7.149,0,1648.126,0,1648.126
aclnnMm,,,2.443,2.443,1648.126,1648.126,1648.126,1648.126
P16/02-parallel/mul-01,,,14.282,21.946,0,562.782,0,0
aten::mul,"67108864;
;
67108864",,3.511,7.664,0,562.782,0,0
aten::item,,,1.847,2.042,0,0,0,0
aten::_local_scalar_dense,,,0.195,0.195,0,0,0,0
aclnnMuls,,,2.111,2.111,562.782,562.782,0,0
P16/02-parallel/mm-02,,,22.649,31.302,0,487.36,0,487.36
aten::mm,"4096,4096;
4096,4096;
4096,4096",,5.529,8.653,0,487.36,0,487.36
aclnnMm,,,3.124,3.124,487.36,487.36,487.36,487.36
P16/02-parallel/mul-02,,,13.533,19.542,0,556.443,0,0
aten::mul,"67108864;
;
67108864",,3.115,6.009,0,556.443,0,0
aten::item,,,0.24,0.417,0,0,0,0
aten::_local_scalar_dense,,,0.177,0.177,0,0,0,0
aclnnMuls,,,2.477,2.477,556.443,556.443,0,0
P16/02-parallel/mm-03,,,18.385,24.641,0,427.237,0,427.237
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.488,6.256,0,427.237,0,427.237
aclnnMm,,,1.768,1.768,427.237,427.237,427.237,427.237
P16/02-parallel/mul-03,,,19.279,27.252,0,554.582,0,0
aten::mul,"67108864;
;
67108864",,3.206,7.973,0,554.582,0,0
aten::item,,,0.239,0.468,0,0,0,0
aten::_local_scalar_dense,,,0.229,0.229,0,0,0,0
aclnnMuls,,,4.299,4.299,554.582,554.582,0,0
P16/02-parallel/mm-04,,,12.871,21.218,0,429.037,0,429.037
aten::mm,"4096,4096;
4096,4096;
4096,4096",,5.762,8.347,0,429.037,0,429.037
aclnnMm,,,2.585,2.585,429.037,429.037,429.037,429.037
P16/02-parallel/mul-04,,,12.891,18.488,0,561.762,0,0
aten::mul,"67108864;
;
67108864",,2.746,5.597,0,561.762,0,0
aten::item,,,0.209,0.373,0,0,0,0
aten::_local_scalar_dense,,,0.164,0.164,0,0,0,0
aclnnMuls,,,2.478,2.478,561.762,561.762,0,0
P16/02-parallel/mm-05,,,13.33,19.727,0,425.737,0,425.737
aten::mm,"4096,4096;
4096,4096;
4096,4096",,3.949,6.397,0,425.737,0,425.737
aclnnMm,,,2.448,2.448,425.737,425.737,425.737,425.737
P16/02-parallel/mul-05,,,12.749,18.777,0,563.703,0,0
aten::mul,"67108864;
;
67108864",,2.946,6.028,0,563.703,0,0
aten::item,,,0.288,0.65,0,0,0,0
aten::_local_scalar_dense,,,0.362,0.362,0,0,0,0
aclnnMuls,,,2.432,2.432,563.703,563.703,0,0
P16/02-parallel/record-A,,,15.08,31.212,0,0.02,0,0
Event::record,,,12.896,16.132,0,0.02,0,0
record_event,,,3.236,3.236,0.02,0.02,0,0
P16/02-parallel/record-B,,,13.314,25.01,0,0.02,0,0
Event::record,,,9.156,11.696,0,0.02,0,0
record_event,,,2.54,2.54,0.02,0.02,0,0
P16/02-parallel/wait-A,,,13.656,4465.448,0,0,0,0
Event::synchronize,,,4451.792,4451.792,0,0,0,0
P16/02-parallel/wait-B,,,12.707,21.205,0,0,0,0
Event::synchronize,,,8.498,8.498,0,0,0,0
destroy_event,,,2.092,2.092,0,0,0,0
destroy_event,,,5.8,5.8,0,0,0,0
P16/check/02-parallel,,,24.36,573.67,0,458.157,0,0
aten::eq,"4096,4096;
",,3.673,9.112,0,20.88,0,0
empty_tensor,,,2.338,2.338,0,0,0,0
aclnnEqScalar,,,3.101,3.101,20.88,20.88,0,0
aten::all,"4096,4096",,3.501,5.789,0,30.221,0,0
empty_tensor,,,1.506,1.506,0,0,0,0
aclnnAll,,,0.782,0.782,30.221,30.221,0,0
aten::item,,,0.643,82.337,0,0,0,0
aten::_local_scalar_dense,,,81.694,81.694,0,0,0,0
aten::eq,"67108864;
",,2.337,6.357,0,349.294,0,0
empty_tensor,,,1.5,1.5,0,0,0,0
aclnnEqScalar,,,2.52,2.52,349.294,349.294,0,0
aten::all,67108864,,2.947,5.58,0,57.762,0,0
empty_tensor,,,1.691,1.691,0,0,0,0
aclnnAll,,,0.942,0.942,57.762,57.762,0,0
aten::item,,,0.641,440.135,0,0,0,0
aten::_local_scalar_dense,,,439.494,439.494,0,0,0,0
P16/02-serial/mm-00,,,28.715,38.055,0,440.857,0,440.857
aten::mm,"4096,4096;
4096,4096;
4096,4096",,6.73,9.34,0,440.857,0,440.857
aclnnMm,,,2.61,2.61,440.857,440.857,440.857,440.857
P16/02-serial/mul-00,,,15.295,23.282,0,400.236,0,0
aten::mul,"67108864;
;
67108864",,3.977,7.987,0,400.236,0,0
aten::item,,,0.372,1.725,0,0,0,0
aten::_local_scalar_dense,,,1.353,1.353,0,0,0,0
aclnnMuls,,,2.285,2.285,400.236,400.236,0,0
P16/02-serial/mm-01,,,13.436,22.467,0,451.019,0,451.019
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.473,9.031,0,451.019,0,451.019
aclnnMm,,,4.558,4.558,451.019,451.019,451.019,451.019
P16/02-serial/mul-01,,,13.842,19.474,0,428.177,0,0
aten::mul,"67108864;
;
67108864",,3.009,5.632,0,428.177,0,0
aten::item,,,0.286,0.637,0,0,0,0
aten::_local_scalar_dense,,,0.351,0.351,0,0,0,0
aclnnMuls,,,1.986,1.986,428.177,428.177,0,0
P16/02-serial/mm-02,,,12.503,19.441,0,449.738,0,449.738
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.388,6.938,0,449.738,0,449.738
aclnnMm,,,2.55,2.55,449.738,449.738,449.738,449.738
P16/02-serial/mul-02,,,13.105,19.052,0,426.177,0,0
aten::mul,"67108864;
;
67108864",,2.842,5.947,0,426.177,0,0
aten::item,,,0.414,0.715,0,0,0,0
aten::_local_scalar_dense,,,0.301,0.301,0,0,0,0
aclnnMuls,,,2.39,2.39,426.177,426.177,0,0
P16/02-serial/mm-03,,,19.682,26.168,0,448.638,0,448.638
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.396,6.486,0,448.638,0,448.638
aclnnMm,,,2.09,2.09,448.638,448.638,448.638,448.638
P16/02-serial/mul-03,,,13.59,19.552,0,427.877,0,0
aten::mul,"67108864;
;
67108864",,2.887,5.962,0,427.877,0,0
aten::item,,,0.505,0.855,0,0,0,0
aten::_local_scalar_dense,,,0.35,0.35,0,0,0,0
aclnnMuls,,,2.22,2.22,427.877,427.877,0,0
P16/02-serial/mm-04,,,12.779,20.017,0,450.138,0,450.138
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.641,7.238,0,450.138,0,450.138
aclnnMm,,,2.597,2.597,450.138,450.138,450.138,450.138
P16/02-serial/mul-04,,,13.143,19.618,0,425.077,0,0
aten::mul,"67108864;
;
67108864",,3.081,6.475,0,425.077,0,0
aten::item,,,0.308,1.246,0,0,0,0
aten::_local_scalar_dense,,,0.938,0.938,0,0,0,0
aclnnMuls,,,2.148,2.148,425.077,425.077,0,0
P16/02-serial/mm-05,,,14.751,25.864,0,450.438,0,450.438
