Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::mm,"4096,4096;
4096,4096;
4096,4096",,10.014,13.123,0,1565.342,0,1565.342
aclnnMm,,,3.109,3.109,1565.342,1565.342,1565.342,1565.342
P16Sync/trace-per_round/r1/compute-mul-01,,,23.242,44.968,0,563.862,0,0
aten::mul,"67108864;
;
67108864",,8.388,21.726,0,563.862,0,0
aten::item,,,0.725,1.185,0,0,0,0
aten::_local_scalar_dense,,,0.46,0.46,0,0,0,0
aclnnMuls,,,12.153,12.153,563.862,563.862,0,0
P16Sync/trace-per_round/r1/compute-mm-02,,,38.114,52.651,0,684.388,0,684.388
aten::mm,"4096,4096;
4096,4096;
4096,4096",,11.544,14.537,0,684.388,0,684.388
aclnnMm,,,2.993,2.993,684.388,684.388,684.388,684.388
P16Sync/trace-per_round/r1/compute-mul-02,,,22.208,32.924,0,536.882,0,0
aten::mul,"67108864;
;
67108864",,6.347,10.716,0,536.882,0,0
aten::item,,,0.722,1.209,0,0,0,0
aten::_local_scalar_dense,,,0.487,0.487,0,0,0,0
aclnnMuls,,,3.16,3.16,536.882,536.882,0,0
P16Sync/trace-per_round/r1/compute-mm-03,,,23.761,39.115,0,425.697,0,425.697
aten::mm,"4096,4096;
4096,4096;
4096,4096",,12.06,15.354,0,425.697,0,425.697
aclnnMm,,,3.294,3.294,425.697,425.697,425.697,425.697
P16Sync/trace-per_round/r1/compute-mul-03,,,30.688,39.018,0,565.483,0,0
aten::mul,"67108864;
;
67108864",,4.768,8.33,0,565.483,0,0
aten::item,,,0.57,0.915,0,0,0,0
aten::_local_scalar_dense,,,0.345,0.345,0,0,0,0
aclnnMuls,,,2.647,2.647,565.483,565.483,0,0
P16Sync/trace-per_round/r1/compute-mm-04,,,23.922,37.595,0,429.237,0,429.237
aten::mm,"4096,4096;
4096,4096;
4096,4096",,10.557,13.673,0,429.237,0,429.237
aclnnMm,,,3.116,3.116,429.237,429.237,429.237,429.237
P16Sync/trace-per_round/r1/compute-mul-04,,,22.124,32.445,0,559.742,0,0
aten::mul,"67108864;
;
67108864",,6.206,10.321,0,559.742,0,0
aten::item,,,0.636,1.022,0,0,0,0
aten::_local_scalar_dense,,,0.386,0.386,0,0,0,0
aclnnMuls,,,3.093,3.093,559.742,559.742,0,0
P16Sync/trace-per_round/r1/compute-mm-05,,,23.995,39.307,0,429.257,0,429.257
aten::mm,"4096,4096;
4096,4096;
4096,4096",,6.944,15.312,0,429.257,0,429.257
aclnnMm,,,8.368,8.368,429.257,429.257,429.257,429.257
P16Sync/trace-per_round/r1/compute-mul-05,,,26.31,38.794,0,556.442,0,0
aten::mul,"67108864;
;
67108864",,5.785,12.484,0,556.442,0,0
aten::item,,,0.79,1.14,0,0,0,0
aten::_local_scalar_dense,,,0.35,0.35,0,0,0,0
aclnnMuls,,,5.559,5.559,556.442,556.442,0,0
P16Sync/trace-per_round/r1/copy-mm,,,31.479,69.513,0,2.2,0,0
aten::view,"4096,4096;
",,7.466,7.466,0,0,0,0
aten::slice,"16777216;
;
;
;
",,7.906,11.013,0,0,0,0
aten::as_strided,"16777216;
;
;
",,3.107,3.107,0,0,0,0
aten::copy_,"4;
4;
",,16.43,19.555,0,2.2,0,0
acl_memcpy_device_to_host,,,3.125,3.125,2.2,2.2,0,0
P16Sync/trace-per_round/r1/record-mm,,,31.062,50.182,0,0.0,0,0
Event::record,,,13.645,19.12,0,0.0,0,0
record_event,,,5.475,5.475,0.0,0.0,0,0
P16Sync/trace-per_round/r1/copy-mul,,,20.563,36.623,0,2.34,0,0
aten::view,"67108864;
",,2.522,2.522,0,0,0,0
aten::slice,"67108864;
;
;
;
",,2.59,3.673,0,0,0,0
aten::as_strided,"67108864;
;
;
",,1.083,1.083,0,0,0,0
aten::copy_,"4;
4;
",,7.162,9.865,0,2.34,0,0
acl_memcpy_device_to_host,,,2.703,2.703,2.34,2.34,0,0
P16Sync/trace-per_round/r1/record-mul,,,14.047,25.293,0,0.02,0,0
Event::record,,,8.374,11.246,0,0.02,0,0
record_event,,,2.872,2.872,0.02,0.02,0,0
P16Sync/trace-per_round/r1/host_wait-mm,,,14.178,3981.897,0,0,0,0
