Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::eq,"4096,4096;
",,2.423,6.547,0,41.242,0,0
empty_tensor,,,1.891,1.891,0,0,0,0
aclnnEqScalar,,,2.233,2.233,41.242,41.242,0,0
aten::count_nonzero,"4096,4096;
",,8.665,18.117,0,2803.571,0,0
aten::ne,"4096,4096;
",,5.387,7.626,0,206.408,0,0
empty_tensor,,,0.89,0.89,0,0,0,0
aclnnNeScalar,,,1.349,1.349,206.408,206.408,0,0
empty_tensor,,,0.742,0.742,0,0,0,0
aclnnReduceSum,,,1.084,1.084,2597.163,2597.163,0,0
aten::item,,,0.752,2859.886,0,0,0,0
aten::_local_scalar_dense,,,2859.134,2859.134,0,0,0,0
aten::eq,"4096,4096;
",,2.26,5.834,0,38.841,0,0
empty_tensor,,,1.27,1.27,0,0,0,0
aclnnEqScalar,,,2.304,2.304,38.841,38.841,0,0
aten::count_nonzero,"4096,4096;
",,3.285,14.405,0,2785.031,0,0
aten::ne,"4096,4096;
",,3.525,5.085,0,195.548,0,0
empty_tensor,,,0.937,0.937,0,0,0,0
aclnnNeScalar,,,0.623,0.623,195.548,195.548,0,0
empty_tensor,,,0.675,0.675,0,0,0,0
aclnnReduceSum,,,5.36,5.36,2589.483,2589.483,0,0
aten::item,,,0.823,2844.762,0,0,0,0
aten::_local_scalar_dense,,,2843.939,2843.939,0,0,0,0
aten::view,"4096,4096;
",,10.882,10.882,0,0,0,0
aten::slice,"16777216;
;
;
;
",,11.205,14.309,0,0,0,0
aten::as_strided,"16777216;
;
;
",,3.104,3.104,0,0,0,0
aten::to,"8;
;
;
;
;
;
;
",,3.855,31.653,0,0,0,0
aten::_to_copy,"8;
;
;
;
;
;
",,10.358,27.798,0,0,0,0
aten::empty,";
;
;
;
;
",,3.695,3.695,0,0,0,0
aten::copy_,"8;
8;
",,13.745,13.745,0,0,0,0
aten::resolve_conj,8,,0.864,0.864,0,0,0,0
aten::resolve_neg,8,,0.334,0.334,0,0,0,0
aten::fill_,"4096,4096;
",,5.445,8.377,0,15.401,0,0
aclnnInplaceFillScalar,,,2.932,2.932,15.401,15.401,0,0
aten::fill_,"4096,4096;
",,1.611,2.57,0,19.781,0,0
aclnnInplaceFillScalar,,,0.959,0.959,19.781,19.781,0,0
P16Dep/trace-00-no_wait/backlog-00,,,21.581,33.082,0,1103.624,0,1103.624
aten::mm,"4096,4096;
4096,4096;
4096,4096",,9.118,11.501,0,1103.624,0,1103.624
aclnnMm,,,2.383,2.383,1103.624,1103.624,1103.624,1103.624
