Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,ReduceSum,MIX_AIV,12,30723.386,2556.222,2560.282,2564.382,34.687
0,MatMulV3,AI_CORE,36,30666.226,423.717,851.839,1812.733,34.623
0,Mul,AI_VECTOR_CORE,45,20610.706,19.281,458.015,607.504,23.27
0,Equal,AI_VECTOR_CORE,27,2943.36,21.961,109.013,380.755,3.323
0,NotEqual,AI_VECTOR_CORE,12,1980.956,159.966,165.079,177.587,2.237
0,Cast,AI_VECTOR_CORE,24,837.258,32.762,34.885,38.642,0.945
0,ReduceAll,MIX_AIV,15,618.503,29.801,41.233,57.942,0.698
0,Fill,AI_VECTOR_CORE,12,192.628,12.781,16.052,20.581,0.217
