Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
acl_memcpy_host_to_device,,,0.653,0.653,2.74,2.74,0,0
aten::slice,,,0.553,0.857,0,0,0,0
aten::as_strided,,,0.304,0.304,0,0,0,0
aten::index,,,11.557,18.314,0,8.86,0,0
empty_tensor,,,1.641,1.641,0,0,0,0
empty_tensor,,,2.65,2.65,0,0,0,0
aclnnIndex,,,2.466,2.466,8.86,8.86,0,0
aten::to,,,0.764,10.666,0,1.16,0,0
aten::_to_copy,,,1.532,9.902,0,1.16,0,0
aten::empty,,,0.994,2.418,0,0,0,0
empty_tensor,,,1.424,1.424,0,0,0,0
aten::copy_,,,3.96,5.952,0,1.16,0,0
aclnnInplaceCopy,,,1.992,1.992,1.16,1.16,0,0
aten::slice,,,0.748,1.209,0,0,0,0
aten::as_strided,,,0.461,0.461,0,0,0,0
aten::add,,,7.86,9.552,0,2.64,0,0
empty_tensor,,,0.96,0.96,0,0,0,0
aclnnAdd,,,0.732,0.732,2.64,2.64,0,0
aten::slice,,,0.826,1.449,0,0,0,0
aten::as_strided,,,0.623,0.623,0,0,0,0
aten::copy_,,,43.818,50.999,0,1.22,0,0
aclnnInplaceCopy,,,7.181,7.181,1.22,1.22,0,0
aten::slice,,,0.661,1.064,0,0,0,0
aten::as_strided,,,0.403,0.403,0,0,0,0
aten::add,,,2.8,5.255,0,1.2,0,0
empty_tensor,,,1.682,1.682,0,0,0,0
aclnnAdd,,,0.773,0.773,1.2,1.2,0,0
aten::copy_,,,6.357,8.05,0,0.56,0,0
aclnnInplaceCopy,,,1.693,1.693,0.56,0.56,0,0
aten::slice,,,0.805,1.15,0,0,0,0
aten::as_strided,,,0.345,0.345,0,0,0,0
aten::fill_,,,2.12,2.917,0,0,0,0
aclnnInplaceFillScalar,,,0.797,0.797,0,0,0,0
aten::slice,,,0.578,1.018,0,0,0,0
aten::as_strided,,,0.44,0.44,0,0,0,0
aten::slice,,,0.457,0.9,0,0,0,0
aten::as_strided,,,0.443,0.443,0,0,0,0
_compute_slot_mapping_kernel,,,4.365,4.365,120.425,120.425,0,0
aten::slice,,,1.15,1.97,0,0,0,0
aten::as_strided,,,0.82,0.82,0,0,0,0
aten::sub,,,7.886,16.572,0,1.2,0,0
empty_tensor,,,1.663,1.663,0,0,0,0
aten::item,,,1.778,4.607,0,0,0,0
aten::_local_scalar_dense,,,2.829,2.829,0,0,0,0
aclnnSubs,,,2.416,2.416,1.2,1.2,0,0
aten::detach,,,1.103,1.103,0,0,0,0
aten::to,,,0.57,0.57,0,0,0,0
aten::resolve_conj,,,0.198,0.198,0,0,0,0
