trace_index,kernel,task_type,task_id,stream_id,device_start_us,device_duration_us,phase,host_operator,host_ancestry,host_start_us,host_duration_us,torch_flow_id,cann_flow_id,cann_launch,cann_connection_verified,kernel_csv_verified,route
10453,MEMCPY_ASYNC,PCIE_DMA_SQE,1311,46,1790085076508708.964,2.72,step=3,acl_memcpy_host_to_device,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::copy_"", ""acl_memcpy_host_to_device""]",1790085076508695.942,0.797,1790085076508708964,6592774799360,AscendCL@aclrtMemcpyAsync,True,False,runtime_copy
10455,MEMCPY_ASYNC,PCIE_DMA_SQE,1312,46,1790085076508718.444,2.9,step=3,acl_memcpy_host_to_device,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::copy_"", ""acl_memcpy_host_to_device""]",1790085076508706.350,1.681,1790085076508718444,6601364733952,AscendCL@aclrtMemcpyAsync,True,False,runtime_copy
10457,MEMCPY_ASYNC,PCIE_DMA_SQE,1313,46,1790085076508741.545,3.1,step=3,acl_memcpy_host_to_device,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::copy_"", ""acl_memcpy_host_to_device""]",1790085076508718.710,1.493,1790085076508741545,6614249635840,AscendCL@aclrtMemcpyAsync,True,False,runtime_copy
10459,MEMCPY_ASYNC,PCIE_DMA_SQE,1314,46,1790085076508750.466,2.74,step=3,acl_memcpy_host_to_device,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::copy_"", ""acl_memcpy_host_to_device""]",1790085076508729.629,0.653,1790085076508750466,6618544603136,AscendCL@aclrtMemcpyAsync,True,False,runtime_copy
9060,aclnnIndex_IndexAiCore_Index,AI_VECTOR_CORE,1315,46,1790085076508799.828,8.86,step=3,aclnnIndex,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::index"", ""aclnnIndex""]",1790085076508772.654,2.466,1790085076508799828,6631429505024,Node@launch,True,True,aten_to_aclnn
9062,aclnnInplaceCopy_CastAiCore_Cast,AI_VECTOR_CORE,1316,46,1790085076508836.649,1.16,step=3,aclnnInplaceCopy,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::to"", ""aten::_to_copy"", ""aten::copy_"", ""aclnnInplaceCopy""]",1790085076508788.620,1.992,1790085076508836649,6652904341504,Node@launch,True,True,aten_to_aclnn
9064,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,1317,46,1790085076508843.369,2.64,step=3,aclnnAdd,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::add"", ""aclnnAdd""]",1790085076508808.164,0.732,1790085076508843369,6678674145280,Node@launch,True,True,aten_to_aclnn
10461,MEMCPY_ASYNC,SDMA_SQE,1318,46,1790085076508890.891,1.22,step=3,aclnnInplaceCopy,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::copy_"", ""aclnnInplaceCopy""]",1790085076508857.345,7.181,1790085076508890891,6687264079872,AscendCL@aclnnInplaceCopy,True,False,runtime_copy
9066,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,1319,46,1790085076508894.091,1.2,step=3,aclnnAdd,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::add"", ""aclnnAdd""]",1790085076508874.020,0.773,1790085076508894091,6721623818240,Node@launch,True,True,aten_to_aclnn
10463,MEMCPY_ASYNC,SDMA_SQE,1320,46,1790085076508898.091,0.56,step=3,aclnnInplaceCopy,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::copy_"", ""aclnnInplaceCopy""]",1790085076508883.115,1.693,1790085076508898091,6730213752832,AscendCL@aclnnInplaceCopy,True,False,runtime_copy
9068,_compute_slot_mapping_kernel,AI_VECTOR_CORE,1321,46,1790085076509158.742,120.425,step=3,_compute_slot_mapping_kernel,"[""P09/step=3/NPUModelRunner.execute_model"", ""_compute_slot_mapping_kernel""]",1790085076509132.137,4.365,1790085076509158742,6768868458496,Node@launch,True,True,triton
9070,aclnnSubs_SubAiCore_Sub,AI_VECTOR_CORE,1322,46,1790085076509279.187,1.2,step=3,aclnnSubs,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::sub"", ""aclnnSubs""]",1790085076509183.822,2.416,1790085076509279187,6781753360384,Node@launch,True,True,aten_to_aclnn
10465,MEMCPY_ASYNC,PCIE_DMA_SQE,1323,46,1790085076509571.718,2.8205,step=3,acl_memcpy_host_to_device,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::to"", ""aten::_to_copy"", ""aten::copy_"", ""acl_memcpy_host_to_device""]",1790085076509543.591,2.589,1790085076509571718,6816113098752,AscendCL@aclrtMemcpyAsync,True,False,runtime_copy
9072,aclnnIndexSelect_GatherV3AiCore_GatherV3,AI_VECTOR_CORE,1324,46,1790085076509658.782,11.7605,step=3,aclnnIndexSelect,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::index_select"", ""aclnnIndexSelect""]",1790085076509631.979,2.56,1790085076509658782,6828998000640,Node@launch,True,True,aten_to_aclnn
9074,aclnnRepeat_TileAiCore_Tile,AI_VECTOR_CORE,1325,46,1790085076509670.562,9.1205,step=3,aclnnRepeat,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::repeat"", ""aclnnRepeat""]",1790085076509650.482,0.895,1790085076509670562,6846177869824,Node@launch,True,True,aten_to_aclnn
