Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::as_strided,,,1.139,1.139,0,0,0,0
aten::slice,,,0.541,0.822,0,0,0,0
aten::as_strided,,,0.281,0.281,0,0,0,0
aten::copy_,,,4.698,7.437,0,2.781,0,0
acl_memcpy_host_to_device,,,2.739,2.739,2.781,2.781,0,0
P13/672358/00042/buffer_copy,,,63.348,73.675,0,2.68,0,0
aten::slice,,,1.164,2.097,0,0,0,0
aten::as_strided,,,0.933,0.933,0,0,0,0
aten::slice,,,0.606,0.876,0,0,0,0
aten::as_strided,,,0.27,0.27,0,0,0,0
aten::copy_,,,4.632,7.354,0,2.68,0,0
acl_memcpy_host_to_device,,,2.722,2.722,2.68,2.68,0,0
aten::slice,,,0.897,1.638,0,0,0,0
aten::as_strided,,,0.741,0.741,0,0,0,0
aten::index,,,16.419,28.816,0,9.02,0,0
empty_tensor,,,5.187,5.187,0,0,0,0
empty_tensor,,,4.367,4.367,0,0,0,0
aclnnIndex,,,2.843,2.843,9.02,9.02,0,0
aten::to,,,0.997,18.186,0,0.9,0,0
aten::_to_copy,,,2.659,17.189,0,0.9,0,0
aten::empty,,,1.069,2.921,0,0,0,0
empty_tensor,,,1.852,1.852,0,0,0,0
aten::copy_,,,5.161,11.609,0,0.9,0,0
aclnnInplaceCopy,,,6.448,6.448,0.9,0.9,0,0
aten::slice,,,1.004,1.63,0,0,0,0
aten::as_strided,,,0.626,0.626,0,0,0,0
aten::add,,,9.617,12.828,0,2.54,0,0
empty_tensor,,,1.014,1.014,0,0,0,0
aclnnAdd,,,2.197,2.197,2.54,2.54,0,0
aten::slice,,,0.924,1.647,0,0,0,0
aten::as_strided,,,0.723,0.723,0,0,0,0
aten::copy_,,,55.416,57.863,0,0.7,0,0
aclnnInplaceCopy,,,2.447,2.447,0.7,0.7,0,0
aten::slice,,,0.732,1.189,0,0,0,0
aten::as_strided,,,0.457,0.457,0,0,0,0
aten::add,,,3.574,5.781,0,1.161,0,0
empty_tensor,,,1.38,1.38,0,0,0,0
aclnnAdd,,,0.827,0.827,1.161,1.161,0,0
aten::copy_,,,8.859,9.717,0,0.62,0,0
aclnnInplaceCopy,,,0.858,0.858,0.62,0.62,0,0
aten::slice,,,0.609,1.051,0,0,0,0
aten::as_strided,,,0.442,0.442,0,0,0,0
aten::fill_,,,3.26,4.049,0,0,0,0
aclnnInplaceFillScalar,,,0.789,0.789,0,0,0,0
aten::slice,,,0.556,1.011,0,0,0,0
aten::as_strided,,,0.455,0.455,0,0,0,0
aten::slice,,,0.801,2.385,0,0,0,0
aten::as_strided,,,1.584,1.584,0,0,0,0
P13/672358/00043/jit_run,,,483.947,660.574,0,120.245,0,0
P13/672358/00044/launch,,,169.197,176.627,0,120.245,0,0
_compute_slot_mapping_kernel,,,7.43,7.43,120.245,120.245,0,0
aten::slice,,,3.26,5.739,0,0,0,0
aten::as_strided,,,2.479,2.479,0,0,0,0
aten::sub,,,12.495,25.98,0,1.4,0,0
empty_tensor,,,4.892,4.892,0,0,0,0
aten::item,,,1.709,4.962,0,0,0,0
aten::_local_scalar_dense,,,3.253,3.253,0,0,0,0
aclnnSubs,,,3.631,3.631,1.4,1.4,0,0
aten::detach,,,1.651,1.651,0,0,0,0
aten::to,,,0.798,0.798,0,0,0,0
aten::resolve_conj,,,0.327,0.327,0,0,0,0
aten::resolve_neg,,,0.104,0.104,0,0,0,0
aten::slice,,,1.979,3.468,0,0,0,0
aten::as_strided,,,1.489,1.489,0,0,0,0
aten::slice,,,1.242,2.338,0,0,0,0
aten::as_strided,,,1.096,1.096,0,0,0,0
aten::slice,,,0.74,1.472,0,0,0,0
aten::as_strided,,,0.732,0.732,0,0,0,0
aten::slice,,,1.231,1.719,0,0,0,0
aten::as_strided,,,0.488,0.488,0,0,0,0
aten::fill_,,,5.56,15.147,0,0,0,0
aclnnInplaceFillScalar,,,9.587,9.587,0,0,0,0
aten::slice,,,0.694,1.126,0,0,0,0
aten::as_strided,,,0.432,0.432,0,0,0,0
aten::fill_,,,1.681,2.818,0,0,0,0
aclnnInplaceFillScalar,,,1.137,1.137,0,0,0,0
aten::slice,,,0.589,0.862,0,0,0,0
aten::as_strided,,,0.273,0.273,0,0,0,0
aten::slice,,,2.872,3.123,0,0,0,0
aten::as_strided,,,0.251,0.251,0,0,0,0
aten::lt,,,9.018,9.018,0,0,0,0
aten::lift_fresh,,,0.322,0.322,0,0,0,0
aten::slice,,,0.392,0.715,0,0,0,0
aten::as_strided,,,0.323,0.323,0,0,0,0
aten::fill_,,,1.228,5.752,0,0,0,0
aten::copy_,,,4.524,4.524,0,0,0,0
aten::slice,,,0.574,0.73,0,0,0,0
aten::as_strided,,,0.156,0.156,0,0,0,0
aten::slice,,,0.762,1.44,0,0,0,0
aten::as_strided,,,0.678,0.678,0,0,0,0
aten::slice,,,0.52,0.846,0,0,0,0
aten::as_strided,,,0.326,0.326,0,0,0,0
aten::slice,,,0.714,2.278,0,0,0,0
aten::as_strided,,,1.564,1.564,0,0,0,0
aten::slice,,,1.46,1.703,0,0,0,0
aten::as_strided,,,0.243,0.243,0,0,0,0
aten::slice,,,0.672,0.992,0,0,0,0
aten::as_strided,,,0.32,0.32,0,0,0,0
aten::slice,,,0.635,0.95,0,0,0,0
aten::as_strided,,,0.315,0.315,0,0,0,0
aten::slice,,,0.547,0.722,0,0,0,0
aten::as_strided,,,0.175,0.175,0,0,0,0
aten::slice,,,0.683,2.115,0,0,0,0
aten::as_strided,,,1.432,1.432,0,0,0,0
aten::sub,,,4.189,4.189,0,0,0,0
aten::gt,,,6.574,15.106,0,0,0,0
aten::to,,,0.639,8.532,0,0,0,0
aten::_to_copy,,,2.71,7.893,0,0,0,0
aten::empty_strided,,,1.863,1.863,0,0,0,0
aten::copy_,,,3.32,3.32,0,0,0,0
aten::any,,,4.541,8.424,0,0,0,0
aten::view_as,,,1.485,2.288,0,0,0,0
aten::view,,,0.803,0.803,0,0,0,0
aten::to,,,0.108,0.108,0,0,0,0
aten::copy_,,,1.487,1.487,0,0,0,0
aten::is_nonzero,,,2.717,3.583,0,0,0,0
aten::item,,,0.501,0.866,0,0,0,0
aten::_local_scalar_dense,,,0.365,0.365,0,0,0,0
aten::to,,,0.236,3.04,0,0,0,0
aten::_to_copy,,,0.524,2.804,0,0,0,0
aten::empty_strided,,,0.646,0.646,0,0,0,0
aten::copy_,,,1.634,1.634,0,0,0,0
aten::argmax,,,3.053,3.345,0,0,0,0
aten::fill_,,,0.292,0.292,0,0,0,0
aten::item,,,0.202,0.484,0,0,0,0
aten::_local_scalar_dense,,,0.282,0.282,0,0,0,0
aten::select,,,4.394,4.694,0,0,0,0
aten::as_strided,,,0.3,0.3,0,0,0,0
aten::item,,,0.19,0.402,0,0,0,0
aten::_local_scalar_dense,,,0.212,0.212,0,0,0,0
aten::slice,,,0.533,0.779,0,0,0,0
aten::as_strided,,,0.246,0.246,0,0,0,0
aten::slice,,,0.499,1.178,0,0,0,0
aten::as_strided,,,0.679,0.679,0,0,0,0
aten::pin_memory,,,3.316,14.87,0,0,0,0
aten::is_pinned,,,11.554,11.554,0,0,0,0
aten::to,,,0.834,18.974,0,2.7,0,0
aten::_to_copy,,,1.786,18.14,0,2.7,0,0
aten::empty_strided,,,4.886,7.402,0,0,0,0
empty_tensor,,,2.516,2.516,0,0,0,0
aten::copy_,,,5.649,8.952,0,2.7,0,0
acl_memcpy_host_to_device,,,3.303,3.303,2.7,2.7,0,0
aten::resolve_conj,,,0.196,0.196,0,0,0,0
aten::resolve_neg,,,0.149,0.149,0,0,0,0
aten::slice,,,0.774,1.168,0,0,0,0
aten::as_strided,,,0.394,0.394,0,0,0,0
aten::resolve_conj,,,0.063,0.063,0,0,0,0
aten::resolve_neg,,,0.183,0.183,0,0,0,0
aten::slice,,,0.69,1.202,0,0,0,0
