Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
P12/A/0011/buffer_copy,,,99.299,110.798,0,2.92,0,0
aten::slice,,,1.246,2.242,0,0,0,0
aten::as_strided,,,0.996,0.996,0,0,0,0
aten::slice,,,0.73,1.064,0,0,0,0
aten::as_strided,,,0.334,0.334,0,0,0,0
aten::copy_,,,5.279,8.193,0,2.92,0,0
acl_memcpy_host_to_device,,,2.914,2.914,2.92,2.92,0,0
P12/A/0012/buffer_copy,,,127.393,143.299,0,2.64,0,0
aten::slice,,,2.513,4.041,0,0,0,0
aten::as_strided,,,1.528,1.528,0,0,0,0
aten::slice,,,1.088,1.515,0,0,0,0
aten::as_strided,,,0.427,0.427,0,0,0,0
aten::copy_,,,6.935,10.35,0,2.64,0,0
acl_memcpy_host_to_device,,,3.415,3.415,2.64,2.64,0,0
aten::slice,,,1.28,2.214,0,0,0,0
aten::as_strided,,,0.934,0.934,0,0,0,0
aten::index,,,19.54,33.982,0,9.5805,0,0
empty_tensor,,,4.001,4.001,0,0,0,0
empty_tensor,,,6.36,6.36,0,0,0,0
aclnnIndex,,,4.081,4.081,9.5805,9.5805,0,0
aten::to,,,1.511,15.58,0,1.18,0,0
aten::_to_copy,,,3.977,14.069,0,1.18,0,0
aten::empty,,,1.593,3.431,0,0,0,0
empty_tensor,,,1.838,1.838,0,0,0,0
aten::copy_,,,5.467,6.661,0,1.18,0,0
aclnnInplaceCopy,,,1.194,1.194,1.18,1.18,0,0
aten::slice,,,1.256,1.973,0,0,0,0
aten::as_strided,,,0.717,0.717,0,0,0,0
aten::add,,,14.532,20.583,0,2.6,0,0
empty_tensor,,,5.351,5.351,0,0,0,0
aclnnAdd,,,0.7,0.7,2.6,2.6,0,0
aten::slice,,,2.138,2.968,0,0,0,0
aten::as_strided,,,0.83,0.83,0,0,0,0
aten::copy_,,,60.531,63.162,0,1.32,0,0
aclnnInplaceCopy,,,2.631,2.631,1.32,1.32,0,0
aten::slice,,,0.712,1.109,0,0,0,0
aten::as_strided,,,0.397,0.397,0,0,0,0
aten::add,,,3.897,11.115,0,1.26,0,0
empty_tensor,,,1.473,1.473,0,0,0,0
aclnnAdd,,,5.745,5.745,1.26,1.26,0,0
aten::copy_,,,10.211,12.315,0,0.6,0,0
aclnnInplaceCopy,,,2.104,2.104,0.6,0.6,0,0
aten::slice,,,0.897,1.516,0,0,0,0
aten::as_strided,,,0.619,0.619,0,0,0,0
aten::fill_,,,3.833,7.397,0,0,0,0
aclnnInplaceFillScalar,,,3.564,3.564,0,0,0,0
aten::slice,,,0.844,1.495,0,0,0,0
aten::as_strided,,,0.651,0.651,0,0,0,0
aten::slice,,,0.774,1.434,0,0,0,0
aten::as_strided,,,0.66,0.66,0,0,0,0
P12/A/0013/slot_prepare,,,511.068,518.298,0,120.145,0,0
_compute_slot_mapping_kernel,,,7.23,7.23,120.145,120.145,0,0
aten::slice,,,4.882,7.615,0,0,0,0
aten::as_strided,,,2.733,2.733,0,0,0,0
aten::sub,,,14.621,29.877,0,1.32,0,0
empty_tensor,,,6.005,6.005,0,0,0,0
aten::item,,,2.489,6.185,0,0,0,0
aten::_local_scalar_dense,,,3.696,3.696,0,0,0,0
aclnnSubs,,,3.066,3.066,1.32,1.32,0,0
aten::detach,,,2.452,2.452,0,0,0,0
aten::to,,,0.94,0.94,0,0,0,0
aten::resolve_conj,,,0.59,0.59,0,0,0,0
aten::resolve_neg,,,0.197,0.197,0,0,0,0
aten::slice,,,5.997,9.249,0,0,0,0
aten::as_strided,,,3.252,3.252,0,0,0,0
aten::slice,,,3.21,4.447,0,0,0,0
aten::as_strided,,,1.237,1.237,0,0,0,0
aten::slice,,,1.076,2.247,0,0,0,0
aten::as_strided,,,1.171,1.171,0,0,0,0
aten::slice,,,1.823,2.541,0,0,0,0
aten::as_strided,,,0.718,0.718,0,0,0,0
aten::fill_,,,8.777,12.87,0,0,0,0
aclnnInplaceFillScalar,,,4.093,4.093,0,0,0,0
aten::slice,,,1.057,3.233,0,0,0,0
aten::as_strided,,,2.176,2.176,0,0,0,0
aten::fill_,,,2.338,4.206,0,0,0,0
aclnnInplaceFillScalar,,,1.868,1.868,0,0,0,0
aten::slice,,,0.947,1.362,0,0,0,0
aten::as_strided,,,0.415,0.415,0,0,0,0
